VigenciaPPA,MacroObjetivo,UnidadeOrcamentaria,AreaDescricao,Programa,ProgramaResumo,TipoProgramaDescricao,DenominacaoPrograma,JustificativaPrograma,Funcao,Subfuncao,DescricaoAcao,TipoAcao,FinalidadeAcao,DescricaoDetalheAcao,ProdutoDaAcao,UnidadeMedida,RepresentacaoUnidade,FinalidadePadronizada,ModoExecucaoPadronizado,ProdutoPadronizado
2024 - 2027,Gestão Estratégica,Assembléia Legislativa do Estado de Rondônia,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Execução das ações classificadas como operações especiais,"Necessidade de manutenção das ações administrativas para cobertura de despesas que não se pode associar à geração de um bem ou serviço, tais como pagamento de dívidas, indenizações administrativas ou cumprimento de sentenças judiciais, bem como o pagamento de pensionistas, nos termos da legislação vigente.",Legislativa,Previdência Especial,REALIZAR PAGAMENTOS DE PENSIONISTAS,Operação Especial,"Efetuar pagamento de pensionistas da Assembleia Legislativa, nos termos da legislação vigente.","Processamento mensal das folhas de pagamento de pensionistas; classificação contábil dos proventos e dos descontos; emissão de reserva orçamentária, empenho, documentos de liquidação e pagamento; transferência de arquivo eletrônico à instituição bancária para crédito das remunerações dos pensionistas, impostos e consignações.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Assembléia Legislativa do Estado de Rondônia,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Execução das ações classificadas como operações especiais,"Necessidade de manutenção das ações administrativas para cobertura de despesas que não se pode associar à geração de um bem ou serviço, tais como pagamento de dívidas, indenizações administrativas ou cumprimento de sentenças judiciais, bem como o pagamento de pensionistas, nos termos da legislação vigente.",Legislativa,Outros Encargos Especiais,"REALIZAR O PAGAMENTO DE DÍVIDAS, INDENIZAÇÕES E SENTENÇAS JUDICIAIS",Operação Especial,"Realizar o pagamento de créditos decorrentes de processos administrativos, cumprimento de sentenças e/ou acordos judiciais, bem como de juros e amortização de dívidas de natureza previdenciária ou diversa.","Autuação de processos administrativos, operacionalização e execução das atividades necessárias ao cumprimento da finalidade da ação.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Tribunal de Contas do Estado de Rondônia,Área Institucional,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Promover aos servidores do Tribunal de Contas o pagamento de sentenças e/ ou acordo judiciais.  ,Cumprir o pagamento de sentenças e/ ou acordos judiciais.,Legislativa,Administração Geral,CUMPRIR SENTENÇAS  E/OU ACORDOS JUDICIAIS,Operação Especial,Garantir o pagamento decorrente de sentenças e/ ou acordos judiciais.,Pagamento em acato à decisão judicial e/ ou acordo firmado entre os sindicatos dos servidores e o TCE-RO.,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Meio Ambiente e Desenvolvimento Territorial,Entidade Autárquica de Assistência Técnica e Extensão Rural do Estado de Rondônia,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Realizar pagamentos de despesas com o Programa de Formação do Patrimônio do Servidor Público - PASEP, como também, pagamentos de precatórios e despesas referentes as Requisições de Pequeno Valor (RPV) por Sentenças Judiciais provindas de ações trabalhistas. ", Atender as demandas oriundas aos pagamentos de sentenças do Poder Judiciário e acordos judiciais e PASEP. ,Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTOS DA CONTRIBUIÇÃO DO PASEP (PROGRAMA DE FORMAÇÃO DO PATRIMÔNIO DOS SERVIDORES PÚBLICOS),Operação Especial,"Desenvolver atividades relacionadas com o pagamento do PASEP - Contribuição para Formação do Patrimônio do Servidor Público, que ocorre em função da geração de recursos próprios.",Recolhimento mensal da contribuição legal e repasse ao Fundo de Formação do Patrimônio do Servidor Público.,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Meio Ambiente e Desenvolvimento Territorial,Entidade Autárquica de Assistência Técnica e Extensão Rural do Estado de Rondônia,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Realizar pagamentos de despesas com o Programa de Formação do Patrimônio do Servidor Público - PASEP, como também, pagamentos de precatórios e despesas referentes as Requisições de Pequeno Valor (RPV) por Sentenças Judiciais provindas de ações trabalhistas. ", Atender as demandas oriundas aos pagamentos de sentenças do Poder Judiciário e acordos judiciais e PASEP. ,Encargos Especiais,Serviço da Dívida Interna,REALIZAR PAGAMENTO DE SENTENÇA JUDICIAL E ADMINISTRATIVA,Operação Especial,"Pagamentos de  despesas com o Programa de Formação do Patrimônio do Servidor Público - PASEP, pagamentos de precatórios, como também, as requisições de pequeno valor - RPV por Sentenças Judiciais provindas de ações trabalhistas. ",Cumprimento de sentenças judiciais: Pagamento de pequeno valor -  RPV e pagamentos de precatórios. ,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Agência de Defesa Sanitária Agrosilvopastoril do Estado de Rondônia,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Pagamento da dívida pública fundada interna e externa, bem como despesas com o PASEP; Restituições de Exercícios Anteriores, Requisições de Pequeno Valor (RPV) e pagamentos de juros e multas.","A Agência de Defesa Agrosilvopastoril do Estado de Rondônia - IDARON primará em honrar seus compromissos, evitando a inadimplência.",Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTOS DA CONTRIBUIÇÃO DO PASEP (PROGRAMA DE FORMAÇÃO DO PATRIMÔNIO DOS SERVIDORES PÚBLICOS),Operação Especial,Desenvolver atividades relacionadas com o pagamento do PASEP - Contribuição para Formação do Patrimônio do Servidor Público.,Recolhimento mensal da contribuição legal e repasse ao Fundo de Formação do Patrimônio do Servidor Público.,NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Agência de Defesa Sanitária Agrosilvopastoril do Estado de Rondônia,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Pagamento da dívida pública fundada interna e externa, bem como despesas com o PASEP; Restituições de Exercícios Anteriores, Requisições de Pequeno Valor (RPV) e pagamentos de juros e multas.","A Agência de Defesa Agrosilvopastoril do Estado de Rondônia - IDARON primará em honrar seus compromissos, evitando a inadimplência.",Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTO DE SENTENÇA JUDICIAL E ADMINISTRATIVA,Operação Especial,"Assegurar o pagamento de sentenças judiciais, exceto precatórios e demais despesas administrativas.","Efetuar pagamentos das Requisições de Pequeno Valor - RPV, e demais despesas administrativas, incluindo restituições/indenizações a produtores e pagamento de juros e multas.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Agência de Defesa Sanitária Agrosilvopastoril do Estado de Rondônia,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Pagamento da dívida pública fundada interna e externa, bem como despesas com o PASEP; Restituições de Exercícios Anteriores, Requisições de Pequeno Valor (RPV) e pagamentos de juros e multas.","A Agência de Defesa Agrosilvopastoril do Estado de Rondônia - IDARON primará em honrar seus compromissos, evitando a inadimplência.",Agricultura,Defesa Agropecuária,RESERVA DE CONTINGÊNCIA,Reserva de Contingência,"Fazer frente à contenção e eliminação de introdução de doenças exóticas e emergentes nas plantações e culturas agrícolas rondonienses, em virtude de emergências fitossanitárias.","Por suas características, a execução orçamentária desta Ação só ocorrerá, a partir da existência das seguintes situações:   a) Ocorrência de Emergência Fitossanitária: Esta ação será ativada quando houver a constatação de uma situação de emergência fitossanitária, com potencial epidêmico, capaz de causar graves consequências ambientais, sociais e econômicas;   b) Eventos Fitossanitários Isolados: Em caso de eventos fitossanitários isolados, de pequena magnitude, que envolvam danos localizados e demandem a interdição de propriedades agrícolas por um período específico.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Gestão Estratégica,Agência de Defesa Sanitária Agrosilvopastoril do Estado de Rondônia,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,"Pagamento da dívida pública fundada interna e externa, bem como despesas com o PASEP; Restituições de Exercícios Anteriores, Requisições de Pequeno Valor (RPV) e pagamentos de juros e multas.","A Agência de Defesa Agrosilvopastoril do Estado de Rondônia - IDARON primará em honrar seus compromissos, evitando a inadimplência.",Encargos Especiais,Outros Encargos Especiais,REALIZAR PAGAMENTO DE SENTENÇAS JUDICIAIS REFERENTES A SERVIDORES ATIVOS E OUTROS (RPV E PRECATÓRIOS),Operação Especial,"Custear o pagamento de despesas decorrentes da decisões judiciais em favor de terceiros, mediante precatório.","Pagamento de créditos devidos a particulares, em cumprimento às decisões judiciais, mediante precatório.",NULL,NULL,NULL,NULL,NULL,NULL
2024 - 2027,Desenvolvimento Econômico,Fundo Estadual de Sanidade Animal,Área Econômica,OPERAÇÕES ESPECIAIS,OPERAÇÕES ESPECIAIS,Operação Especial,Assegurar recursos para eventual emergência sanitária animal.,"O presente Programa visa proporcionar uma garantia financeira mínima, para o caso de ocorrência de um eventual sinistro sanitário animal.",Agricultura,Defesa Agropecuária,RESERVA DE CONTINGÊNCIA,Reserva de Contingência,"Garantir o enfrentamento de emergência sanitária animal, fazendo frente à contenção e eliminação de introdução de doenças exóticas e emergentes no rebanho pecuário rondoniense, e assegurar aos produtores o direito à indenização dos animais sacrificados e/ou abatidos em virtude destas emergências veterinárias.","Por suas características, a execução orçamentária desta Ação só ocorrerá, a partir da existência das seguintes situações: a) ocorrência de situação de emergência veterinária, com potencial epidêmico para produzir graves consequências sanitárias, sociais e econômicas, declarada pela autoridade sanitária estadual; b) ocorrência de eventos sanitários isolados, de pequena magnitude, que envolva pequenas indenizações a produtos rurais prejudicados por uma eventual situação que necessite de interdição de propriedades por um determinado período de tempo, onde os produtos e subprodutos de origem animal não poderão sair da referida propriedade, havendo a necessidade de indenização, do que se denomina lucro cessante ao produtor.",NULL,NULL,NULL,NULL,NULL,NULL
